quantity,time,day,date,month,year
140,1,Sunday,1,4,2012
188,2,Monday,2,4,2012
188,3,Tuesday,3,4,2012
188,4,Wednesday,4,4,2012
188,5,Thursday,5,4,2012
188,6,Friday,6,4,2012
188,7,Saturday,7,4,2012
140,8,Sunday,8,4,2012
188,9,Monday,9,4,2012
188,10,Tuesday,10,4,2012
188,11,Wednesday,11,4,2012
188,12,Thursday,12,4,2012
188,13,Friday,13,4,2012
188,14,Saturday,14,4,2012
140,15,Sunday,15,4,2012
188,16,Monday,16,4,2012
188,17,Tuesday,17,4,2012
188,18,Wednesday,18,4,2012
188,19,Thursday,19,4,2012
188,20,Friday,20,4,2012
188,21,Saturday,21,4,2012
140,22,Sunday,22,4,2012
188,23,Monday,23,4,2012
188,24,Tuesday,24,4,2012
188,25,Wednesday,25,4,2012
188,26,Thursday,26,4,2012
188,27,Friday,27,4,2012
188,28,Saturday,28,4,2012
140,29,Sunday,29,4,2012
188,30,Monday,30,4,2012
188,31,Tuesday,1,5,2012
188,32,Wednesday,2,5,2012
188,33,Thursday,3,5,2012
188,34,Friday,4,5,2012
188,35,Saturday,5,5,2012
140,36,Sunday,6,5,2012
188,37,Monday,7,5,2012
188,38,Tuesday,8,5,2012
188,39,Wednesday,9,5,2012
188,40,Thursday,10,5,2012
188,41,Friday,11,5,2012
188,42,Saturday,12,5,2012
140,43,Sunday,13,5,2012
188,44,Monday,14,5,2012
188,45,Tuesday,15,5,2012
188,46,Wednesday,16,5,2012
188,47,Thursday,17,5,2012
188,48,Friday,18,5,2012
188,49,Saturday,19,5,2012
140,50,Sunday,20,5,2012
188,51,Monday,21,5,2012
188,52,Tuesday,22,5,2012
188,53,Wednesday,23,5,2012
188,54,Thursday,24,5,2012
188,55,Friday,25,5,2012
188,56,Saturday,26,5,2012
140,57,Sunday,27,5,2012
188,58,Monday,28,5,2012
188,59,Tuesday,29,5,2012
188,60,Wednesday,30,5,2012
188,61,Thursday,31,5,2012
188,62,Friday,1,6,2012
188,63,Saturday,2,6,2012
140,64,Sunday,3,6,2012
188,65,Monday,4,6,2012
188,66,Tuesday,5,6,2012
188,67,Wednesday,6,6,2012
188,68,Thursday,7,6,2012
188,69,Friday,8,6,2012
0,70,Saturday,9,6,2012
0,71,Sunday,10,6,2012
0,72,Monday,11,6,2012
0,73,Tuesday,12,6,2012
0,74,Wednesday,13,6,2012
0,75,Thursday,14,6,2012
0,76,Friday,15,6,2012
0,77,Saturday,16,6,2012
0,78,Sunday,17,6,2012
0,79,Monday,18,6,2012
0,80,Tuesday,19,6,2012
0,81,Wednesday,20,6,2012
0,82,Thursday,21,6,2012
0,83,Friday,22,6,2012
0,84,Saturday,23,6,2012
0,85,Sunday,24,6,2012
0,86,Monday,25,6,2012
0,87,Tuesday,26,6,2012
0,88,Wednesday,27,6,2012
0,89,Thursday,28,6,2012
0,90,Friday,29,6,2012
0,91,Saturday,30,6,2012
0,92,Sunday,1,7,2012
0,93,Monday,2,7,2012
0,94,Tuesday,3,7,2012
0,95,Wednesday,4,7,2012
0,96,Thursday,5,7,2012
0,97,Friday,6,7,2012
0,98,Saturday,7,7,2012
0,99,Sunday,8,7,2012
0,100,Monday,9,7,2012
0,101,Tuesday,10,7,2012
0,102,Wednesday,11,7,2012
0,103,Thursday,12,7,2012
