Id,Model,Price,Age_06_15,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar,,,,,,,,,,,,,
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,57,10,2010,46986,Diesel,90,1,Blue,0,2000,3,4,5,210,1165,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,57,10,2010,72937,Diesel,90,1,Silver,0,2000,3,4,5,210,1165,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
3,ÿTOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,58,9,2010,41711,Diesel,90,1,Blue,0,2000,3,4,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,60,7,2010,48000,Diesel,90,0,Black,0,2000,3,4,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,64,3,2010,38500,Diesel,90,0,Black,0,2000,3,4,5,210,1170,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,66,1,2010,61000,Diesel,90,0,White,0,2000,3,4,5,210,1170,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,
7,ÿTOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,61,6,2010,94612,Diesel,90,1,Grey,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,64,3,2010,75889,Diesel,90,1,Grey,0,2000,3,4,5,210,1245,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
9,ÿTOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,61,6,2010,19700,Petrol,192,0,Red,0,1800,3,4,5,100,1185,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,,,,,,,,,,,,,
10,ÿTOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,57,10,2010,71138,Diesel,69,0,Blue,0,1900,3,4,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,59,8,2010,31461,Petrol,192,0,Silver,0,1800,3,4,6,100,1185,1,1,12,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,56,11,2010,43610,Petrol,192,0,Red,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,59,8,2010,32189,Petrol,192,0,Red,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,65,2,2010,23000,Petrol,192,1,Black,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,66,1,2010,34131,Petrol,192,1,Grey,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,62,5,2010,18739,Petrol,192,0,Grey,0,1800,3,4,6,100,1185,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
17,ÿTOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,64,3,2010,34000,Petrol,192,1,Grey,0,1800,3,4,5,100,1185,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,
18,ÿTOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,58,9,2010,21716,Petrol,110,1,Blue,0,1600,3,4,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,58,9,2010,25563,Petrol,110,0,Grey,0,1600,3,4,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,64,3,2010,64359,Petrol,110,1,Grey,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
21,ÿTOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,64,3,2010,67660,Petrol,110,1,Blue,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,63,4,2010,43905,Petrol,110,0,Grey,1,1600,3,4,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,62,5,2010,56349,Petrol,110,1,Black,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,
24,ÿTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,62,5,2010,32220,Petrol,110,1,Black,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,63,4,2010,25813,Petrol,110,1,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,59,8,2010,28450,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,
27,ÿTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,61,6,2010,34545,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,
