OBS,mstatus,value
1,MALE_DIV,0
2,MALE_DIV,0
3,MALE_DIV,0
4,MALE_DIV,0
5,MALE_DIV,0
6,MALE_DIV,0
7,MALE_DIV,0
8,MALE_DIV,0
9,MALE_DIV,1
10,MALE_DIV,0
11,MALE_DIV,0
12,MALE_DIV,0
13,MALE_DIV,0
14,MALE_DIV,0
15,MALE_DIV,0
16,MALE_DIV,0
17,MALE_DIV,0
18,MALE_DIV,0
19,MALE_DIV,0
20,MALE_DIV,0
21,MALE_DIV,0
22,MALE_DIV,0
23,MALE_DIV,0
24,MALE_DIV,0
25,MALE_DIV,0
26,MALE_DIV,0
27,MALE_DIV,0
28,MALE_DIV,0
29,MALE_DIV,0
30,MALE_DIV,0
31,MALE_DIV,0
32,MALE_DIV,0
33,MALE_DIV,0
34,MALE_DIV,0
35,MALE_DIV,0
36,MALE_DIV,0
37,MALE_DIV,0
38,MALE_DIV,0
39,MALE_DIV,0
40,MALE_DIV,0
41,MALE_DIV,0
42,MALE_DIV,1
43,MALE_DIV,0
44,MALE_DIV,0
45,MALE_DIV,0
46,MALE_DIV,0
47,MALE_DIV,0
48,MALE_DIV,0
49,MALE_DIV,0
50,MALE_DIV,0
51,MALE_DIV,0
52,MALE_DIV,0
53,MALE_DIV,0
54,MALE_DIV,0
55,MALE_DIV,0
56,MALE_DIV,0
57,MALE_DIV,0
58,MALE_DIV,0
59,MALE_DIV,0
60,MALE_DIV,0
61,MALE_DIV,0
62,MALE_DIV,0
63,MALE_DIV,0
64,MALE_DIV,0
65,MALE_DIV,0
66,MALE_DIV,0
67,MALE_DIV,0
68,MALE_DIV,0
69,MALE_DIV,0
70,MALE_DIV,0
71,MALE_DIV,0
72,MALE_DIV,0
73,MALE_DIV,0
74,MALE_DIV,0
75,MALE_DIV,0
76,MALE_DIV,0
77,MALE_DIV,0
78,MALE_DIV,0
79,MALE_DIV,0
80,MALE_DIV,0
81,MALE_DIV,0
82,MALE_DIV,0
83,MALE_DIV,0
84,MALE_DIV,0
85,MALE_DIV,0
86,MALE_DIV,0
87,MALE_DIV,0
88,MALE_DIV,0
89,MALE_DIV,0
90,MALE_DIV,0
91,MALE_DIV,0
92,MALE_DIV,0
93,MALE_DIV,0
94,MALE_DIV,0
95,MALE_DIV,0
96,MALE_DIV,0
97,MALE_DIV,0
98,MALE_DIV,0
99,MALE_DIV,0
100,MALE_DIV,0
101,MALE_DIV,0
102,MALE_DIV,0
103,MALE_DIV,0
104,MALE_DIV,0
105,MALE_DIV,0
106,MALE_DIV,0
107,MALE_DIV,0
108,MALE_DIV,0
109,MALE_DIV,0
110,MALE_DIV,0
111,MALE_DIV,1
112,MALE_DIV,0
113,MALE_DIV,0
114,MALE_DIV,0
115,MALE_DIV,0
116,MALE_DIV,0
117,MALE_DIV,0
118,MALE_DIV,0
119,MALE_DIV,0
120,MALE_DIV,1
121,MALE_DIV,0
122,MALE_DIV,0
123,MALE_DIV,0
124,MALE_DIV,0
125,MALE_DIV,0
126,MALE_DIV,0
127,MALE_DIV,0
128,MALE_DIV,0
129,MALE_DIV,0
130,MALE_DIV,0
131,MALE_DIV,0
132,MALE_DIV,0
133,MALE_DIV,0
134,MALE_DIV,0
135,MALE_DIV,0
136,MALE_DIV,0
137,MALE_DIV,0
138,MALE_DIV,0
139,MALE_DIV,0
140,MALE_DIV,0
141,MALE_DIV,0
142,MALE_DIV,0
143,MALE_DIV,0
144,MALE_DIV,0
145,MALE_DIV,0
146,MALE_DIV,0
147,MALE_DIV,0
148,MALE_DIV,0
149,MALE_DIV,0
150,MALE_DIV,0
151,MALE_DIV,0
152,MALE_DIV,0
153,MALE_DIV,0
154,MALE_DIV,0
155,MALE_DIV,0
156,MALE_DIV,0
157,MALE_DIV,0
158,MALE_DIV,0
159,MALE_DIV,0
160,MALE_DIV,0
161,MALE_DIV,0
162,MALE_DIV,0
163,MALE_DIV,0
164,MALE_DIV,0
165,MALE_DIV,0
166,MALE_DIV,0
167,MALE_DIV,0
168,MALE_DIV,0
169,MALE_DIV,0
170,MALE_DIV,1
171,MALE_DIV,0
172,MALE_DIV,0
173,MALE_DIV,0
174,MALE_DIV,0
175,MALE_DIV,0
176,MALE_DIV,0
177,MALE_DIV,1
178,MALE_DIV,0
179,MALE_DIV,0
180,MALE_DIV,0
181,MALE_DIV,1
182,MALE_DIV,1
183,MALE_DIV,0
184,MALE_DIV,0
185,MALE_DIV,0
186,MALE_DIV,0
187,MALE_DIV,0
188,MALE_DIV,0
189,MALE_DIV,0
190,MALE_DIV,0
191,MALE_DIV,0
192,MALE_DIV,0
193,MALE_DIV,0
194,MALE_DIV,0
195,MALE_DIV,0
196,MALE_DIV,0
197,MALE_DIV,0
198,MALE_DIV,0
199,MALE_DIV,0
200,MALE_DIV,1
201,MALE_DIV,0
202,MALE_DIV,0
203,MALE_DIV,0
204,MALE_DIV,0
205,MALE_DIV,0
206,MALE_DIV,0
207,MALE_DIV,0
208,MALE_DIV,0
209,MALE_DIV,0
210,MALE_DIV,0
211,MALE_DIV,0
212,MALE_DIV,0
213,MALE_DIV,0
214,MALE_DIV,0
215,MALE_DIV,0
216,MALE_DIV,0
217,MALE_DIV,0
218,MALE_DIV,0
219,MALE_DIV,1
220,MALE_DIV,0
221,MALE_DIV,0
222,MALE_DIV,0
223,MALE_DIV,0
224,MALE_DIV,0
225,MALE_DIV,0
226,MALE_DIV,0
227,MALE_DIV,0
228,MALE_DIV,0
229,MALE_DIV,0
230,MALE_DIV,0
231,MALE_DIV,0
232,MALE_DIV,0
233,MALE_DIV,0
234,MALE_DIV,0
235,MALE_DIV,0
236,MALE_DIV,0
237,MALE_DIV,0
238,MALE_DIV,1
239,MALE_DIV,0
240,MALE_DIV,0
241,MALE_DIV,0
242,MALE_DIV,0
243,MALE_DIV,0
244,MALE_DIV,0
245,MALE_DIV,0
246,MALE_DIV,0
247,MALE_DIV,0
248,MALE_DIV,0
249,MALE_DIV,0
250,MALE_DIV,0
251,MALE_DIV,0
252,MALE_DIV,0
253,MALE_DIV,0
254,MALE_DIV,0
255,MALE_DIV,0
256,MALE_DIV,0
257,MALE_DIV,0
258,MALE_DIV,1
259,MALE_DIV,0
260,MALE_DIV,0
261,MALE_DIV,0
262,MALE_DIV,0
263,MALE_DIV,0
264,MALE_DIV,0
265,MALE_DIV,0
266,MALE_DIV,0
267,MALE_DIV,0
268,MALE_DIV,0
269,MALE_DIV,1
270,MALE_DIV,0
271,MALE_DIV,0
272,MALE_DIV,0
273,MALE_DIV,0
274,MALE_DIV,0
275,MALE_DIV,1
276,MALE_DIV,0
277,MALE_DIV,0
278,MALE_DIV,1
279,MALE_DIV,0
280,MALE_DIV,0
281,MALE_DIV,0
282,MALE_DIV,0
283,MALE_DIV,0
284,MALE_DIV,0
285,MALE_DIV,1
286,MALE_DIV,0
287,MALE_DIV,0
288,MALE_DIV,0
289,MALE_DIV,0
290,MALE_DIV,0
291,MALE_DIV,0
292,MALE_DIV,0
293,MALE_DIV,0
294,MALE_DIV,0
295,MALE_DIV,1
296,MALE_DIV,0
297,MALE_DIV,0
298,MALE_DIV,0
299,MALE_DIV,0
300,MALE_DIV,0
301,MALE_DIV,0
302,MALE_DIV,0
303,MALE_DIV,0
304,MALE_DIV,0
305,MALE_DIV,0
306,MALE_DIV,1
307,MALE_DIV,0
308,MALE_DIV,0
309,MALE_DIV,0
310,MALE_DIV,0
311,MALE_DIV,0
312,MALE_DIV,0
313,MALE_DIV,0
314,MALE_DIV,0
315,MALE_DIV,0
316,MALE_DIV,0
317,MALE_DIV,0
318,MALE_DIV,0
319,MALE_DIV,0
320,MALE_DIV,0
321,MALE_DIV,0
322,MALE_DIV,1
323,MALE_DIV,0
324,MALE_DIV,0
325,MALE_DIV,0
326,MALE_DIV,0
327,MALE_DIV,0
328,MALE_DIV,0
329,MALE_DIV,0
330,MALE_DIV,0
331,MALE_DIV,0
332,MALE_DIV,0
333,MALE_DIV,0
334,MALE_DIV,0
335,MALE_DIV,0
336,MALE_DIV,1
337,MALE_DIV,0
338,MALE_DIV,0
339,MALE_DIV,0
340,MALE_DIV,1
341,MALE_DIV,0
342,MALE_DIV,0
343,MALE_DIV,0
344,MALE_DIV,0
345,MALE_DIV,0
346,MALE_DIV,0
347,MALE_DIV,0
348,MALE_DIV,0
349,MALE_DIV,0
350,MALE_DIV,0
351,MALE_DIV,0
352,MALE_DIV,0
353,MALE_DIV,0
354,MALE_DIV,0
355,MALE_DIV,0
356,MALE_DIV,0
357,MALE_DIV,0
358,MALE_DIV,0
359,MALE_DIV,0
360,MALE_DIV,0
361,MALE_DIV,0
362,MALE_DIV,0
363,MALE_DIV,0
364,MALE_DIV,0
365,MALE_DIV,0
366,MALE_DIV,0
367,MALE_DIV,0
368,MALE_DIV,0
369,MALE_DIV,0
370,MALE_DIV,0
371,MALE_DIV,0
372,MALE_DIV,0
373,MALE_DIV,0
374,MALE_DIV,0
375,MALE_DIV,0
376,MALE_DIV,0
377,MALE_DIV,0
378,MALE_DIV,0
379,MALE_DIV,0
380,MALE_DIV,0
381,MALE_DIV,0
382,MALE_DIV,0
383,MALE_DIV,0
384,MALE_DIV,0
385,MALE_DIV,0
386,MALE_DIV,0
387,MALE_DIV,0
388,MALE_DIV,0
389,MALE_DIV,0
390,MALE_DIV,0
391,MALE_DIV,0
392,MALE_DIV,0
393,MALE_DIV,0
394,MALE_DIV,0
395,MALE_DIV,0
396,MALE_DIV,0
397,MALE_DIV,0
398,MALE_DIV,0
399,MALE_DIV,1
400,MALE_DIV,0
401,MALE_DIV,0
402,MALE_DIV,0
403,MALE_DIV,0
404,MALE_DIV,0
405,MALE_DIV,0
406,MALE_DIV,0
407,MALE_DIV,0
408,MALE_DIV,0
409,MALE_DIV,1
410,MALE_DIV,0
411,MALE_DIV,0
412,MALE_DIV,0
413,MALE_DIV,0
414,MALE_DIV,0
415,MALE_DIV,0
416,MALE_DIV,0
417,MALE_DIV,0
418,MALE_DIV,0
419,MALE_DIV,0
420,MALE_DIV,0
421,MALE_DIV,0
422,MALE_DIV,0
423,MALE_DIV,0
424,MALE_DIV,0
425,MALE_DIV,0
426,MALE_DIV,0
427,MALE_DIV,0
428,MALE_DIV,0
429,MALE_DIV,0
430,MALE_DIV,0
431,MALE_DIV,0
432,MALE_DIV,0
433,MALE_DIV,0
434,MALE_DIV,1
435,MALE_DIV,0
436,MALE_DIV,0
437,MALE_DIV,0
438,MALE_DIV,0
439,MALE_DIV,0
440,MALE_DIV,0
441,MALE_DIV,0
442,MALE_DIV,0
443,MALE_DIV,0
444,MALE_DIV,0
445,MALE_DIV,0
446,MALE_DIV,0
447,MALE_DIV,0
448,MALE_DIV,0
449,MALE_DIV,0
450,MALE_DIV,0
451,MALE_DIV,0
452,MALE_DIV,0
453,MALE_DIV,0
454,MALE_DIV,0
455,MALE_DIV,0
456,MALE_DIV,0
457,MALE_DIV,0
458,MALE_DIV,0
459,MALE_DIV,0
460,MALE_DIV,0
461,MALE_DIV,0
462,MALE_DIV,0
463,MALE_DIV,0
464,MALE_DIV,0
465,MALE_DIV,0
466,MALE_DIV,0
467,MALE_DIV,0
468,MALE_DIV,0
469,MALE_DIV,0
470,MALE_DIV,0
471,MALE_DIV,0
472,MALE_DIV,0
473,MALE_DIV,0
474,MALE_DIV,0
475,MALE_DIV,0
476,MALE_DIV,0
477,MALE_DIV,0
478,MALE_DIV,0
479,MALE_DIV,0
480,MALE_DIV,0
481,MALE_DIV,0
482,MALE_DIV,0
483,MALE_DIV,0
484,MALE_DIV,0
485,MALE_DIV,0
486,MALE_DIV,0
487,MALE_DIV,0
488,MALE_DIV,0
489,MALE_DIV,0
490,MALE_DIV,0
491,MALE_DIV,0
492,MALE_DIV,0
493,MALE_DIV,0
494,MALE_DIV,0
495,MALE_DIV,0
496,MALE_DIV,0
497,MALE_DIV,0
498,MALE_DIV,0
499,MALE_DIV,0
500,MALE_DIV,1
501,MALE_DIV,0
502,MALE_DIV,0
503,MALE_DIV,1
504,MALE_DIV,0
505,MALE_DIV,0
506,MALE_DIV,0
507,MALE_DIV,0
508,MALE_DIV,0
509,MALE_DIV,0
510,MALE_DIV,0
511,MALE_DIV,0
512,MALE_DIV,0
513,MALE_DIV,0
514,MALE_DIV,0
515,MALE_DIV,0
516,MALE_DIV,0
517,MALE_DIV,0
518,MALE_DIV,0
519,MALE_DIV,0
520,MALE_DIV,0
521,MALE_DIV,0
522,MALE_DIV,0
523,MALE_DIV,0
524,MALE_DIV,0
525,MALE_DIV,0
526,MALE_DIV,0
527,MALE_DIV,0
528,MALE_DIV,0
529,MALE_DIV,1
530,MALE_DIV,0
531,MALE_DIV,0
532,MALE_DIV,0
533,MALE_DIV,0
534,MALE_DIV,0
535,MALE_DIV,0
536,MALE_DIV,1
537,MALE_DIV,0
538,MALE_DIV,0
539,MALE_DIV,0
540,MALE_DIV,0
541,MALE_DIV,0
542,MALE_DIV,0
543,MALE_DIV,0
544,MALE_DIV,0
545,MALE_DIV,0
546,MALE_DIV,0
547,MALE_DIV,0
548,MALE_DIV,0
549,MALE_DIV,0
550,MALE_DIV,0
551,MALE_DIV,0
552,MALE_DIV,0
553,MALE_DIV,0
554,MALE_DIV,0
555,MALE_DIV,0
556,MALE_DIV,0
557,MALE_DIV,0
558,MALE_DIV,0
559,MALE_DIV,0
560,MALE_DIV,0
561,MALE_DIV,0
562,MALE_DIV,0
563,MALE_DIV,0
564,MALE_DIV,0
565,MALE_DIV,0
566,MALE_DIV,0
567,MALE_DIV,1
568,MALE_DIV,0
569,MALE_DIV,0
570,MALE_DIV,0
571,MALE_DIV,0
572,MALE_DIV,0
573,MALE_DIV,0
574,MALE_DIV,0
575,MALE_DIV,0
576,MALE_DIV,0
577,MALE_DIV,0
578,MALE_DIV,0
579,MALE_DIV,1
580,MALE_DIV,0
581,MALE_DIV,0
582,MALE_DIV,0
583,MALE_DIV,0
584,MALE_DIV,0
585,MALE_DIV,0
586,MALE_DIV,0
587,MALE_DIV,0
588,MALE_DIV,0
589,MALE_DIV,0
590,MALE_DIV,0
591,MALE_DIV,0
592,MALE_DIV,0
593,MALE_DIV,0
594,MALE_DIV,0
595,MALE_DIV,0
596,MALE_DIV,0
597,MALE_DIV,0
598,MALE_DIV,0
599,MALE_DIV,0
600,MALE_DIV,0
601,MALE_DIV,0
602,MALE_DIV,0
603,MALE_DIV,0
604,MALE_DIV,0
605,MALE_DIV,0
606,MALE_DIV,0
607,MALE_DIV,0
608,MALE_DIV,0
609,MALE_DIV,0
610,MALE_DIV,0
611,MALE_DIV,0
612,MALE_DIV,0
613,MALE_DIV,0
614,MALE_DIV,0
615,MALE_DIV,0
616,MALE_DIV,0
617,MALE_DIV,0
618,MALE_DIV,0
619,MALE_DIV,0
620,MALE_DIV,1
621,MALE_DIV,0
622,MALE_DIV,0
623,MALE_DIV,1
624,MALE_DIV,0
625,MALE_DIV,0
626,MALE_DIV,0
627,MALE_DIV,0
628,MALE_DIV,0
629,MALE_DIV,0
630,MALE_DIV,0
631,MALE_DIV,0
632,MALE_DIV,0
633,MALE_DIV,0
634,MALE_DIV,0
635,MALE_DIV,0
636,MALE_DIV,0
637,MALE_DIV,0
638,MALE_DIV,0
639,MALE_DIV,0
640,MALE_DIV,0
641,MALE_DIV,0
642,MALE_DIV,0
643,MALE_DIV,0
644,MALE_DIV,0
645,MALE_DIV,0
646,MALE_DIV,0
647,MALE_DIV,1
648,MALE_DIV,0
649,MALE_DIV,0
650,MALE_DIV,0
651,MALE_DIV,0
652,MALE_DIV,0
653,MALE_DIV,0
654,MALE_DIV,0
655,MALE_DIV,0
656,MALE_DIV,0
657,MALE_DIV,0
658,MALE_DIV,0
659,MALE_DIV,0
660,MALE_DIV,0
661,MALE_DIV,0
662,MALE_DIV,0
663,MALE_DIV,0
664,MALE_DIV,0
665,MALE_DIV,0
666,MALE_DIV,0
667,MALE_DIV,0
668,MALE_DIV,0
669,MALE_DIV,0
670,MALE_DIV,0
671,MALE_DIV,0
672,MALE_DIV,0
673,MALE_DIV,0
674,MALE_DIV,0
675,MALE_DIV,0
676,MALE_DIV,0
677,MALE_DIV,0
678,MALE_DIV,0
679,MALE_DIV,0
680,MALE_DIV,0
681,MALE_DIV,0
682,MALE_DIV,0
683,MALE_DIV,0
684,MALE_DIV,0
685,MALE_DIV,0
686,MALE_DIV,0
687,MALE_DIV,0
688,MALE_DIV,0
689,MALE_DIV,0
690,MALE_DIV,0
691,MALE_DIV,1
692,MALE_DIV,0
693,MALE_DIV,0
694,MALE_DIV,0
695,MALE_DIV,0
696,MALE_DIV,0
697,MALE_DIV,0
698,MALE_DIV,0
699,MALE_DIV,0
700,MALE_DIV,0
701,MALE_DIV,0
702,MALE_DIV,0
703,MALE_DIV,0
704,MALE_DIV,0
705,MALE_DIV,0
706,MALE_DIV,0
707,MALE_DIV,0
708,MALE_DIV,0
709,MALE_DIV,0
710,MALE_DIV,0
711,MALE_DIV,0
712,MALE_DIV,0
713,MALE_DIV,0
714,MALE_DIV,0
715,MALE_DIV,0
716,MALE_DIV,0
717,MALE_DIV,0
718,MALE_DIV,0
719,MALE_DIV,0
720,MALE_DIV,0
721,MALE_DIV,0
722,MALE_DIV,0
723,MALE_DIV,0
724,MALE_DIV,0
725,MALE_DIV,0
726,MALE_DIV,0
727,MALE_DIV,0
728,MALE_DIV,0
729,MALE_DIV,0
730,MALE_DIV,1
731,MALE_DIV,0
732,MALE_DIV,0
733,MALE_DIV,0
734,MALE_DIV,0
735,MALE_DIV,0
736,MALE_DIV,0
737,MALE_DIV,0
738,MALE_DIV,0
739,MALE_DIV,0
740,MALE_DIV,0
741,MALE_DIV,0
742,MALE_DIV,0
743,MALE_DIV,0
744,MALE_DIV,0
745,MALE_DIV,0
746,MALE_DIV,0
747,MALE_DIV,0
748,MALE_DIV,0
749,MALE_DIV,0
750,MALE_DIV,0
751,MALE_DIV,0
752,MALE_DIV,0
753,MALE_DIV,0
754,MALE_DIV,0
755,MALE_DIV,0
756,MALE_DIV,0
757,MALE_DIV,0
758,MALE_DIV,0
759,MALE_DIV,0
760,MALE_DIV,0
761,MALE_DIV,0
762,MALE_DIV,0
763,MALE_DIV,0
764,MALE_DIV,0
765,MALE_DIV,0
766,MALE_DIV,0
767,MALE_DIV,1
768,MALE_DIV,0
769,MALE_DIV,0
770,MALE_DIV,0
771,MALE_DIV,0
772,MALE_DIV,0
773,MALE_DIV,0
774,MALE_DIV,0
775,MALE_DIV,0
776,MALE_DIV,0
777,MALE_DIV,0
778,MALE_DIV,0
779,MALE_DIV,0
780,MALE_DIV,0
781,MALE_DIV,0
782,MALE_DIV,0
783,MALE_DIV,0
784,MALE_DIV,0
785,MALE_DIV,1
786,MALE_DIV,0
787,MALE_DIV,0
788,MALE_DIV,0
789,MALE_DIV,0
790,MALE_DIV,0
791,MALE_DIV,0
792,MALE_DIV,0
793,MALE_DIV,0
794,MALE_DIV,1
795,MALE_DIV,0
796,MALE_DIV,0
797,MALE_DIV,0
798,MALE_DIV,0
799,MALE_DIV,0
800,MALE_DIV,0
801,MALE_DIV,0
802,MALE_DIV,0
803,MALE_DIV,0
804,MALE_DIV,0
805,MALE_DIV,0
806,MALE_DIV,0
807,MALE_DIV,0
808,MALE_DIV,0
809,MALE_DIV,0
810,MALE_DIV,0
811,MALE_DIV,0
812,MALE_DIV,0
813,MALE_DIV,0
814,MALE_DIV,0
815,MALE_DIV,0
816,MALE_DIV,0
817,MALE_DIV,1
818,MALE_DIV,0
819,MALE_DIV,1
820,MALE_DIV,0
821,MALE_DIV,0
822,MALE_DIV,0
823,MALE_DIV,0
824,MALE_DIV,0
825,MALE_DIV,1
826,MALE_DIV,0
827,MALE_DIV,0
828,MALE_DIV,0
829,MALE_DIV,0
830,MALE_DIV,0
831,MALE_DIV,0
832,MALE_DIV,0
