"C7R4RSCL","C7R4MSCL","C7R2SSCL","C7SDQRDC","C7SDQMTC","C7BMI","P7FSRAW","P7FSSCAL","P7NUMSIB","P7LESS18","P7OVER18","P7HTOTAL","S7FLCH_I","F7SPECS","R7REGION","R7AGE","R7ELIG","R7R6SCHG","P7FSSTAT","P7FSCHST","P7HFAMIL","T7GLVL","S7SCTYP","S7ENRLS","S7MINOR","S7PUPRI","S7RLCH_I","C7SAFE","C7ANGRY","C7LIKRD","C7LONLY","C7SAD","C7LIKMTH","C7WRYWEL","C7ENJRD","C7WRYFIN","C7ENJMTH","C7ASHAME","C7FLGOOD","C7NOCNTR","C7USELES","C7NOGOOD","C7NOPRD","C7DESCWT","C7TRYWT","P7SAFEGO","P7SAFEPL","P7SAFE","P7DRUGS","P7CONEMO","P7EVEMO","P7DEPRES","P7SAD","P7SAFEA","G7EMOPRB","S7DRUGS","S7GANGS","S7CRIME","GENDER","RACE","W8POVRTY","W8SESL","W8PARED","W8INCCAT"
1.04447487258808,0.892872361226396,0.868260005590599,0.837458040192968,0.150412507230543,-0.379269015749385,-0.179963310539355,-0.368323890899042,-1.30501926531453,-1.20237484942223,-0.196997410520052,-1.09659389438386,-1.11295796092344,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","163 TO LESS THAN 169","STUDENT ELIGIBLE","STUDENT MOVED FROM PUBLIC SCHOOL TO PRIVATE SCHOOL","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS NO SIBLING","EIGHTH GRADE","OTHER PRIVATE","0 - 149","LESS THAN 10%","PRIVATE","NOT APPLICABLE","OFTEN","A LITTLE BIT TRUE","VERY TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","MOSTLY TRUE","A LITTLE BIT TRUE","VERY TRUE","A LITTLE BIT TRUE","MOSTLY TRUE","NOT AT ALL TRUE","AGREE","DISAGREE","AGREE","DISAGREE","DISAGREE","ABOUT THE RIGHT WEIGHT","STAY THE SAME WEIGHT","NO","VERY SAFE","STRONGLY AGREE","STRONGLY DISAGREE","NO","NOT APPLICABLE","NEVER","NEVER","NOT APPLICABLE","NOT APPLICABLE","NO PROBLEM","NO PROBLEM","NO PROBLEM","FEMALE","WHITE, NON-HISPANIC","AT OR ABOVE POVERTY THRESHOLD",1.27497942307341,"MASTER'S DEGREE (MA, MS)","$50,001 TO $75,000"
0.634910377164856,0.901907132548685,0.0846329652887107,0.634922525738684,0.150412507230543,-0.0426315527402144,-0.179963310539355,-0.368323890899042,-0.419342274550932,-0.282373343549117,-0.196997410520052,-0.34862811671163,-0.129265794471599,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","175 TO LESS THAN 181","STUDENT ELIGIBLE","STUDENT DID NOT CHANGE SCHOOL","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS PLUS SIBLINGS","EIGHTH GRADE","PUBLIC","150 - 299","LESS THAN 10%","PUBLIC","10% TO LESS THAN 25%","OFTEN","A LITTLE BIT TRUE","VERY TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","A LITTLE BIT TRUE","MOSTLY TRUE","MOSTLY TRUE","MOSTLY TRUE","A LITTLE BIT TRUE","A LITTLE BIT TRUE","AGREE","DISAGREE","DISAGREE","STRONGLY DISAGREE","DISAGREE","ABOUT THE RIGHT WEIGHT","LOSE WEIGHT","NO","VERY SAFE","AGREE","DISAGREE","NO","NOT APPLICABLE","NEVER","NEVER","NOT APPLICABLE","NOT APPLICABLE","NO PROBLEM","NO PROBLEM","NO PROBLEM","FEMALE","WHITE, NON-HISPANIC","AT OR ABOVE POVERTY THRESHOLD",0.481368103784678,"BACHELOR'S DEGREE","$100,001 TO $200,000"
-0.610614526724957,0.62484081199851,-0.252929452072102,-0.580290560987019,1.11314799323974,0.187758205996959,NA,NA,NA,NA,NA,NA,0.0381075783238531,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","163 TO LESS THAN 169","STUDENT ELIGIBLE","STUDENT MOVED FROM PUBLIC SCHOOL TO PUBLIC SCHOOL",NA,NA,NA,"EIGHTH GRADE","PUBLIC","500 - 749","LESS THAN 10%","PUBLIC","5% TO LESS THAN 10%","ALWAYS","VERY TRUE","VERY TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","VERY TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","VERY TRUE","VERY TRUE","AGREE","AGREE","AGREE","AGREE","DISAGREE","ABOUT THE RIGHT WEIGHT","LOSE WEIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","SOMEWHAT OF A PROBLEM","NO PROBLEM","SOMEWHAT OF A PROBLEM","MALE","NATIVE HAWAIIAN, OTHER PACIFIC ISLANDER",NA,NA,NA,NA
-0.390871018906559,0.0806033966320966,0.135870117923835,-0.377755046532735,0.342959604432382,-0.266310930154946,-0.179963310539355,-0.368323890899042,-0.419342274550932,-0.282373343549117,-0.196997410520052,-0.34862811671163,0.352306253593888,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","175 TO LESS THAN 181","STUDENT ELIGIBLE","NOT ASCERTAINED","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS PLUS SIBLINGS","EIGHTH GRADE","PUBLIC","300 - 499","75% OR MORE","PUBLIC","10% TO LESS THAN 25%","OFTEN","VERY TRUE","A LITTLE BIT TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","MOSTLY TRUE","A LITTLE BIT TRUE","NOT AT ALL TRUE","A LITTLE BIT TRUE","A LITTLE BIT TRUE","A LITTLE BIT TRUE","STRONGLY AGREE","STRONGLY AGREE","DISAGREE","DISAGREE","STRONGLY DISAGREE","VERY UNDERWEIGHT","GAIN WEIGHT","NO","VERY SAFE","AGREE","STRONGLY DISAGREE","NO","NOT APPLICABLE","NEVER","NEVER","NOT APPLICABLE","NOT APPLICABLE","NO PROBLEM","NO PROBLEM","NO PROBLEM","MALE","WHITE, NON-HISPANIC","AT OR ABOVE POVERTY THRESHOLD",-0.188241446865188,"MASTER'S DEGREE (MA, MS)","$35,001 TO $40,000"
0.99055199761988,0.898465314902098,1.14132388963426,0.229851496830117,0.150412507230543,0.807350081435766,-0.179963310539355,-0.368323890899042,-0.419342274550932,-1.20237484942223,1.0406205805712,-0.34862811671163,0.0381075783238531,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","163 TO LESS THAN 169","STUDENT ELIGIBLE","STUDENT MOVED FROM PUBLIC SCHOOL TO PUBLIC SCHOOL","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS PLUS SIBLINGS","EIGHTH GRADE","PUBLIC","500 - 749","LESS THAN 10%","PUBLIC","5% TO LESS THAN 10%","SOMETIMES","MOSTLY TRUE","MOSTLY TRUE","MOSTLY TRUE","MOSTLY TRUE","MOSTLY TRUE","MOSTLY TRUE","A LITTLE BIT TRUE","MOSTLY TRUE","A LITTLE BIT TRUE","MOSTLY TRUE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","DISAGREE","ABOUT THE RIGHT WEIGHT","LOSE WEIGHT","NO","SOMEWHAT SAFE","AGREE","NEITHER AGREE NOR DISAGREE","YES","NO","NEVER","NEVER","NOT APPLICABLE","NOT APPLICABLE","SOMEWHAT OF A PROBLEM","NO PROBLEM","SOMEWHAT OF A PROBLEM","FEMALE","WHITE, NON-HISPANIC","AT OR ABOVE POVERTY THRESHOLD",0.654970579879088,"BACHELOR'S DEGREE","$50,001 TO $75,000"
0.0860191469971981,0.416610844380056,0.499955296648712,-0.175219532078451,0.535506701634222,0.0524321826610467,-0.179963310539355,-0.368323890899042,-0.419342274550932,-0.282373343549117,-0.196997410520052,-0.34862811671163,0.0381075783238531,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","169 TO LESS THAN 175","STUDENT ELIGIBLE","STUDENT MOVED FROM PUBLIC SCHOOL TO PUBLIC SCHOOL","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS PLUS SIBLINGS","EIGHTH GRADE","PUBLIC","500 - 749","LESS THAN 10%","PUBLIC","5% TO LESS THAN 10%","ALWAYS","MOSTLY TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","VERY TRUE","A LITTLE BIT TRUE","A LITTLE BIT TRUE","MOSTLY TRUE","MOSTLY TRUE","VERY TRUE","AGREE","STRONGLY DISAGREE","DISAGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","ABOUT THE RIGHT WEIGHT","STAY THE SAME WEIGHT","NO","VERY SAFE","AGREE","DISAGREE","NO","NOT APPLICABLE","NEVER","NEVER","NOT APPLICABLE","NOT APPLICABLE","SOMEWHAT OF A PROBLEM","NO PROBLEM","SOMEWHAT OF A PROBLEM","FEMALE","WHITE, NON-HISPANIC","AT OR ABOVE POVERTY THRESHOLD",0.022561559820881,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","$35,001 TO $40,000"
0.437297066587744,-0.0157674974723122,0.73564619877028,1.24252906910154,0.535506701634222,-0.50900305464993,-0.179963310539355,-0.368323890899042,-0.419342274550932,-0.282373343549117,-0.196997410520052,-0.34862811671163,0.0381075783238531,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","181 TO  203","STUDENT ELIGIBLE","STUDENT MOVED FROM PUBLIC SCHOOL TO PUBLIC SCHOOL","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS PLUS SIBLINGS","EIGHTH GRADE","PUBLIC","500 - 749","LESS THAN 10%","PUBLIC","5% TO LESS THAN 10%","ALWAYS","NOT AT ALL TRUE","VERY TRUE","A LITTLE BIT TRUE","NOT AT ALL TRUE","MOSTLY TRUE","NOT AT ALL TRUE","VERY TRUE","A LITTLE BIT TRUE","MOSTLY TRUE","NOT AT ALL TRUE","STRONGLY AGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","DISAGREE","STRONGLY DISAGREE","SLIGHTLY UNDERWEIGHT","GAIN WEIGHT","NO","VERY SAFE","STRONGLY AGREE","STRONGLY DISAGREE","NO","NOT APPLICABLE","SOME OF THE TIME","MOST OF THE TIME","NOT APPLICABLE","NOT APPLICABLE","SOMEWHAT OF A PROBLEM","NO PROBLEM","SOMEWHAT OF A PROBLEM","FEMALE","WHITE, NON-HISPANIC","AT OR ABOVE POVERTY THRESHOLD",1.31217995366507,"MASTER'S DEGREE (MA, MS)","$50,001 TO $75,000"
-1.36491139044201,-1.03411529365595,-0.188430918754947,0.0273159823758329,0.728053798836061,1.63272698409613,-0.179963310539355,-0.368323890899042,-0.419342274550932,-0.282373343549117,-0.196997410520052,-0.34862811671163,0.0381075783238531,"STUDENT GOT SPECIAL EDUCATION SERVICES","NORTHEAST","169 TO LESS THAN 175","STUDENT ELIGIBLE","STUDENT MOVED FROM PUBLIC SCHOOL TO PUBLIC SCHOOL","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS PLUS SIBLINGS","SEVENTH GRADE","PUBLIC","500 - 749","LESS THAN 10%","PUBLIC","5% TO LESS THAN 10%","OFTEN","A LITTLE BIT TRUE","MOSTLY TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","VERY TRUE","MOSTLY TRUE","A LITTLE BIT TRUE","MOSTLY TRUE","VERY TRUE","A LITTLE BIT TRUE","AGREE","DISAGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","SLIGHTLY OVERWEIGHT","LOSE WEIGHT","NO","VERY SAFE","STRONGLY AGREE","STRONGLY DISAGREE","NO","NOT APPLICABLE","NEVER","NEVER","NO","NO","SOMEWHAT OF A PROBLEM","NO PROBLEM","SOMEWHAT OF A PROBLEM","MALE","WHITE, NON-HISPANIC","AT OR ABOVE POVERTY THRESHOLD",-0.659448167692872,"BACHELOR'S DEGREE","$20,001 TO $25,000"
0.116253360129658,0.138684069418235,0.744688049235302,-0.580290560987019,0.342959604432382,-0.25848215194543,-0.179963310539355,-0.368323890899042,-0.419342274550932,-0.282373343549117,-0.196997410520052,-0.34862811671163,0.0381075783238531,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","175 TO LESS THAN 181","STUDENT ELIGIBLE","STUDENT MOVED FROM PUBLIC SCHOOL TO PUBLIC SCHOOL","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS PLUS SIBLINGS","EIGHTH GRADE","PUBLIC","500 - 749","LESS THAN 10%","PUBLIC","5% TO LESS THAN 10%","ALWAYS","A LITTLE BIT TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","MOSTLY TRUE","MOSTLY TRUE","NOT AT ALL TRUE","A LITTLE BIT TRUE","MOSTLY TRUE","A LITTLE BIT TRUE","STRONGLY AGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","DISAGREE","ABOUT THE RIGHT WEIGHT","STAY THE SAME WEIGHT","NO","SOMEWHAT SAFE","AGREE","DISAGREE","NO","NOT APPLICABLE","NEVER","NEVER","NOT APPLICABLE","NOT APPLICABLE","SOMEWHAT OF A PROBLEM","NO PROBLEM","SOMEWHAT OF A PROBLEM","MALE","WHITE, NON-HISPANIC","BELOW POVERTY THRESHOLD",-1.31665754147885,"SOME COLLEGE","$10,001 TO $15,000"
0.986811682593184,0.805536238444276,0.865246055435592,1.24252906910154,0.9206008960379,2.62698181670461,-0.179963310539355,-0.368323890899042,-1.30501926531453,-1.20237484942223,-0.196997410520052,-1.09659389438386,0.0381075783238531,"STUDENT DID NOT GET SPECIAL EDUCATION SERVICES","NORTHEAST","175 TO LESS THAN 181","STUDENT ELIGIBLE","STUDENT MOVED FROM PUBLIC SCHOOL TO PUBLIC SCHOOL","FOOD SECURE","FOOD SECURE OR FOOD INSECURE WITHOUT HUNGER AMONG CHILDREN","2 PARENTS NO SIBLING","EIGHTH GRADE","PUBLIC","500 - 749","LESS THAN 10%","PUBLIC","5% TO LESS THAN 10%","OFTEN","MOSTLY TRUE","VERY TRUE","NOT AT ALL TRUE","NOT AT ALL TRUE","VERY TRUE","VERY TRUE","VERY TRUE","VERY TRUE","MOSTLY TRUE","A LITTLE BIT TRUE","AGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","STRONGLY DISAGREE","VERY OVERWEIGHT","LOSE WEIGHT","NO","VERY SAFE","STRONGLY AGREE","DISAGREE","NO","NOT APPLICABLE","NEVER","NEVER","NOT APPLICABLE","NOT APPLICABLE","SOMEWHAT OF A PROBLEM","NO PROBLEM","SOMEWHAT OF A PROBLEM","MALE","WHITE, NON-HISPANIC","AT OR ABOVE POVERTY THRESHOLD",1.1881781850262,"MASTER'S DEGREE (MA, MS)","$50,001 TO $75,000"
