"age","exp","inc","family","edu","mortgage","ccAvg","securities","cd","online","cc","infoReq","loan"
29.1270594718943,1,49,"4","4",0,20.07520605,"1","0","0","0","Email","0"
45,19,34,"3","3",0,18.87936727,"1","0","0","0","Email","0"
39,15,11,"1","1",0,13.07459566,"0","0","0","0","Email","0"
35,9,100,"1","1",0,35.06954666,"0","0","0","0","Email","0"
35,8,45,"4","4",0,13.0445928,"0","0","0","1","Email","0"
37,13,29,"4","4",155,4.949429171,"0","0","1","0","Email","0"
53,27,72,"2","2",0,18.86392662,"0","0","1","0","Email","0"
50,24,22,"1","1",0,3.929490563,"0","0","0","1","Ph","0"
35,10,81,"3","3",104,6.941749591,"0","0","1","0","Ph","0"
34,9,180,"1","1",0,104.5954966,"0","0","0","0","Ph","1"
65,39,105,"4","4",0,30.78888153,"0","0","0","0","Ph","0"
29,5,45,"3","3",0,2.00957747,"0","0","1","0","Ph","0"
48,23,114,"2","2",0,49.55487638,"1","0","0","0","Email","0"
59,32,40,"4","4",34.1023246710275,31.89196623,"0","0","1","0","Email","0"
67,41,112,"1","1",0,25.92568078,"1","0","0","0","Email","0"
60,30,22,"1","1",0,19.25371805,"0","0","1","1","Email","0"
38,14,130,"4","4",134,61.89438217,"0","0","0","0","Ph","1"
42,18,81,"4","4",0,31.51252172,"0","0","0","0","Ph","0"
46,21,193,"2","2",0,97.62623443,"0","0","0","0","Ph","1"
55,28,21,"1","1",0,6.109516542,"1","0","0","1","Email","0"
56,28.5198874694192,25,"4","4",111,11.97671838,"0","0","1","0","Ph","0"
57,27,63,"3","3",0,26.09603879,"0","0","1","0","Ph","0"
29,5,62,"1","1",31.4375839767506,15.14902301,"0","0","1","0","Email","0"
44,18,43,"2","2",163,9.044661176,"1","0","1","0","Email","0"
36,11,152,"2","2",159,51.46377026,"0","0","0","0","Email","0"
43,19,29,"3","3",97,5.943078284,"0","0","1","0","Email","0"
40,16,62.1254787222886,"4","4",0,3.021507407,"0","0","0","0","Email","0"
46,20,158,"1","1",0,30.6904175,"0","0","1","1","Ph","0"
56,30,48,"1","1",0,27.71602089,"0","0","1","1","Ph","0"
38,13,119,"1","1",0,43.72309422,"0","0","1","1","Ph","1"
59,35,35,"1","1",122,15.0367942,"0","0","1","0","Ph","0"
40.4016024158322,16,29,"1","1",0,26.00991556,"0","0","1","0","Ph","0"
53,28,41,"2","2",193,7.031616454,"0","0","0","0","Ph","0"
30,6,48.9388943556579,"3","3",0,11.92433743,"0","0","0","0","Email","0"
31,5,50,"4","4",0,23.8465186,"0","0","1","0","Ph","0"
48,24,81,"3","3",0,9.064960583,"0","0","0","0","Email","0"
59,35,121,"1","1",0,37.92561066,"0","0","0","1","Ph","0"
51,25,71,"1","1",198,17.79318115,"0","0","0","0","Email","0"
42,18,141,"3","3",0,66.2587601,"1","1","1","0","Ph","1"
38,13,80,"4","4",285,8.981374352,"0","0","1","0","Email","0"
57,32,84,"3","3",0,20.03304841,"1","0","0","0","Email","0"
34,9,60,"3","3",0,28.79402567,"0","0","0","0","Ph","0"
32,7,113.737973002531,"4","4",412,14.0098055,"0","0","1","0","Ph","1"
39,15,45,"1","1",44.8890063761904,8.99502845,"0","0","1","0","Email","0"
46,20,104,"1","1",0,75.07949014,"0","0","1","1","Ph","0"
57,31,52,"4","4",0,32.01765875,"0","0","0","1","Ph","0"
39,14,43,"3","3",153,9.111754546,"0","0","1","0","Ph","0"
37,12,194,"4","4",211,3.023375903,"1","1","1","1","Ph","1"
56,26,81,"2","2",0,58.43147748,"0","0","0","1","Email","0"
40,16,49,"2","2",0,23.63619535,"0","0","0","1","Email","0"
32,8,8,"4","4",0,9.053683861,"1","0","1","0","Email","0"
61,37,131,"1","1",0,38.07832205,"0","0","1","0","Email","0"
30,6,72,"1","1",207,2.012929673,"0","0","0","0","Email","0"
50,26,190,"3","3",240,27.05487446,"0","0","1","0","Ph","1"
29,5,44,"1","1",0,2.955980795,"0","0","1","0","Ph","0"
41,17,139,"2","2",0,98.27123329,"0","0","1","0","Email","0"
57.4843741154006,30,29,"3","3",0,1.9743543,"1","1","1","0","Email","0"
56,31,131,"2","2",0,14.86350883,"0","0","0","0","Ph","1"
28,2,93,"2","2",0,3.022291661,"0","0","0","0","Email","0"
31,5,188,"2","2",455,58.37123603,"0","0","0","0","Ph","0"
49,24.2084419559663,39,"3","3",57.3081180638231,22.15672283,"1","0","1","0","Ph","0"
47,21,125,"1","1",112,74.4727278,"1","0","0","0","Email","0"
42,18,22,"1","1",0,12.9553469,"0","0","0","0","Email","0"
42,17,32,"4","4",0,1.006081774,"0","0","1","0","Email","0"
50.662452658808,23,105,"2","2",0,43.27154126,"0","0","0","0","Ph","0"
59,35,131,"1","1",0,49.69044822,"0","0","1","1","Email","0"
62,36,105,"2","2",336,36.97905508,"0","0","0","0","Ph","0"
53,23,45,"4","4",132,25.93173092,"1","0","0","0","Ph","0"
47,21,60,"3","3",0,27.03277477,"0","0","1","1","Email","0"
53,29,20,"4","4",0,2.993180402,"0","0","1","0","Email","0"
